Routine,Line,GloRef,GloSet,GloKill,DirBlkRd,UpntBlkRd,BpntBlkRd,DataBlkRd,BdataBlkRd,MapBlkRd,OthBlkRd,DirBlkWt,UpntBlkWt,BpntBlkWt,DataBlkWt,BdataBlkWt,MapBlkWt,OthBlkWt,DirBlkBuf,UpntBlkBuf,BpntBlkBuf,DataBlkBuf,BdataBlkBuf,MapBlkBuf,OthBlkBuf,JrnEntry,BlkAlloc,NetGloRef,NetGloSet,NetGloKill,NetReqSent,NCacheHit,NCacheMiss,NetLock,RtnLine,RtnLoad,RtnFetch,LockCom,LockSucc,LockFail,TermRead,TermWrite,TermChRd,TermChWrt,SeqRead,SeqWrt,IJCMsgRd,IJCMsgWt,IJCNetMsg,Retransmit,BuffSent,Time,TotalTime,Code
Isc.JSONFiltering.DynObjSearchCriteria.1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000015,0.000015,"    Return 1 }"
Isc.JSONFiltering.DynObjSearchCriteria.1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"%SerializeObject(serial,partial=0) public {"
Isc.JSONFiltering.DynObjSearchCriteria.1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," try {"
Isc.JSONFiltering.DynObjSearchCriteria.1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," 	Set sc=..%ValidateObject(,0) Throw:('sc) ##class(%Exception.StatusException).ThrowIfInterrupt(sc)"
Isc.JSONFiltering.DynObjSearchCriteria.1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," 	Set sc=..%NormalizeObject() Throw:('sc) ##class(%Exception.StatusException).ThrowIfInterrupt(sc)"
Isc.JSONFiltering.DynObjSearchCriteria.1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," 	If r%db'="""" { Set:'$data(%objTX(0,+r%db)) %objTX(0,+r%db)=$i(%objTX(1)),%objTX(1,%objTX(0,+r%db))=r%db,%objTX(1,%objTX(0,+r%db),1)=..dbGetObject(1),%objTX(1,%objTX(0,+r%db),6)=1 Set M%db=1,i%db=$listget(%objTX(1,%objTX(0,+r%db),1)) }"
Isc.JSONFiltering.DynObjSearchCriteria.1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," 	set sc=1"
Isc.JSONFiltering.DynObjSearchCriteria.1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," }"
Isc.JSONFiltering.DynObjSearchCriteria.1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," catch tException {"
Isc.JSONFiltering.DynObjSearchCriteria.1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," 	set sc = tException.AsStatus()"
Isc.JSONFiltering.DynObjSearchCriteria.1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," }"
Isc.JSONFiltering.DynObjSearchCriteria.1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Quit sc }"
Isc.JSONFiltering.DynObjSearchCriteria.1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"%AddToSaveSet(depth=3,refresh=0) public {"
Isc.JSONFiltering.DynObjSearchCriteria.1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," If $data(%objTX(0,+$this)) && ('refresh) Quit 1"
Isc.JSONFiltering.DynObjSearchCriteria.1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Set sc=1,intOref=+$this"
Isc.JSONFiltering.DynObjSearchCriteria.1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," If refresh,$data(%objTX(0,intOref),index) Set intPoref="""" For  Set intPoref=$order(%objTX(1,index,2,intPoref)) Quit:intPoref=""""  Kill %objTX(1,%objTX(0,intPoref),3,index),%objTX(1,index,2,%objTX(0,intPoref))"
Isc.JSONFiltering.DynObjSearchCriteria.1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Set %objTX(0,intOref)=$i(%objTX(1)),%objTX(1,%objTX(1))=$this,%objTX(1,%objTX(1),1)=-1"
Isc.JSONFiltering.DynObjSearchCriteria.1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Set Poref=r%db If Poref'="""",'$data(%objTX(0,+Poref)) Set %objTX(6,$i(%objTX(6)))=Poref"
Isc.JSONFiltering.DynObjSearchCriteria.1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"exit Quit sc }"
Isc.JSONFiltering.DynObjSearchCriteria.1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"%ValidateObject(force=0,checkserial=1) public {"
Isc.JSONFiltering.DynObjSearchCriteria.1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," set sc=1"
Isc.JSONFiltering.DynObjSearchCriteria.1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," If '$system.CLS.GetModified() Quit sc"
Isc.JSONFiltering.DynObjSearchCriteria.1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," If m%tempDBName Set iv=..tempDBName If iv'="""" Set rc=(..tempDBNameIsValid(iv)) If ('rc) Set sc=$$EmbedErr^%occSystem(sc,rc,5802,""tempDBName"",iv)"
Isc.JSONFiltering.DynObjSearchCriteria.1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Quit sc }"
